# chrom	start	end	strand	circRNA ID	genomic length	spliced seq length	samples	repeats	annotation	best transcript	gene symbol	circRNA study
chr2	160688180	160711450	-	hsa_circ_0056851	23270	1575	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001198759	LY75-CD302	Salzman2013
chr11	71668272	71693961	+	hsa_circ_0023405	25689	335	Helas3, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018320	RNF121	Salzman2013
chr19	39123240	39123318	+	hsa_circ_0050893	78	78	Helas3, Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_013234	EIF3K	Salzman2013
chr1	171535730	171540560	+	hsa_circ_0015229	4830	447	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015172	PRRC2C	Salzman2013
chr3	148876452	148885027	+	hsa_circ_0067702	8575	1105	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032383	HPS3	Salzman2013
chr2	36583369	36749456	+	hsa_circ_0053950	166087	2494	Nhek, Hsmm, H1hesc, Bj, Nhlf	Low_complexity	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_016441	CRIM1	Salzman2013
chr14	76211437	76219298	+	hsa_circ_0032718	7861	269	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015072	TTLL5	Salzman2013
chr16	67293475	67299009	+	hsa_circ_0039821	5534	454	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004594	SLC9A5	Salzman2013
chr20	61826924	61827836	-	hsa_circ_0001175	912	912	neutr	None	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, UTR3	NM_017798	YTHDF1	Memczak2013
chr2	9083315	9143876	-	hsa_circ_0052512	60561	432	K562, H1hesc, Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_138799	MBOAT2	Salzman2013
chr6	52128811	52137249	-	hsa_circ_0076729	8438	1325	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_002388	MCM3	Salzman2013
chr22	41277773	41278181	+	hsa_circ_0008360	408	408	Hs68_RNase, Hs68_control, Nhek, K562, H1hesc, Gm12878, Bj, Ag04450, A549, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_022098	XPNPEP3	Jeck2013, Salzman2013
chr1	28167524	28169841	+	hsa_circ_0011095	2317	366	Huvec, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_138558	PPP1R8	Salzman2013
chr4	39864955	39904080	-	hsa_circ_0069510	39125	1381	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001100399	PDS5A	Salzman2013
chr7	17874383	17937069	-	hsa_circ_0079514	62686	1452	Hepg2, Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_015132	SNX13	Salzman2013
chr12	50575686	50586347	-	hsa_circ_0026222	10661	247	Gm12878, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001113546	LIMA1	Salzman2013
chr2	160080742	160089170	+	hsa_circ_0056820	8428	3560	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001145909	TANC1	Salzman2013
chr1	186022083	186056462	+	hsa_circ_0015690	34379	2583	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_031935	HMCN1	Salzman2013
chr9	127620157	127622543	-	hsa_circ_0088516	2386	271	K562, Hsmm, Hepg2, Helas3, Gm12878, Ag04450, A549, Nhek, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_007209	RPL35	Salzman2013
chr8	145533457	145533582	+	hsa_circ_0086037	125	125	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005526	HSF1	Salzman2013
chr12	105428077	105433584	-	hsa_circ_0027972	5507	293	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001034173	ALDH1L2	Salzman2013
chr15	81268094	81282205	-	hsa_circ_0036540	14111	4243	Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_015154	MESDC2	Salzman2013
chr12	57577557	57595688	+	hsa_circ_0027203	18131	4800	Nhlf	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002332	LRP1	Salzman2013
chr14	91409421	91467503	-	hsa_circ_0032940	58082	515	A549, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004755	RPS6KA5	Salzman2013
chr2	233421125	233431924	+	hsa_circ_0058710	10799	645	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004846	EIF4E2	Salzman2013
chr3	171969049	171969331	+	hsa_circ_0067989	282	282	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_022763	FNDC3B	Salzman2013
chr2	32695235	32750695	+	hsa_circ_0053733	55460	5573	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016252	BIRC6	Salzman2013
chr22	23412668	23438605	+	hsa_circ_0062515	25937	1260	Bj	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_002073	GNAZ	Salzman2013
chr19	55854109	55855211	+	hsa_circ_0052234	1102	274	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032701	SUV420H2	Salzman2013
chr1	44401261	44402912	+	hsa_circ_0012111	1651	1229	Hmec	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_057090	ARTN	Salzman2013
chr5	43675612	43677908	+	hsa_circ_0003832	2296	242	Hs68_RNase, Hs68_control, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhek, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_012343	NNT	Jeck2013, Salzman2013
chr19	49481180	49484893	-	hsa_circ_0051816	3713	246	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002103	GYS1	Salzman2013
chr9	33036571	33037113	+	hsa_circ_0003762	542	217	Hs68_RNase, Hs68_control, K562, Helas3, H1hesc, Gm12878, A549	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001539	DNAJA1	Jeck2013, Salzman2013
chr11	33108533	33112273	-	hsa_circ_0021588	3740	350	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001326	CSTF3	Salzman2013
chr1	6324331	6387473	-	hsa_circ_0009500	63142	928	Nhek, H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_007274	ACOT7	Salzman2013
chr1	41461588	41478235	+	hsa_circ_0011927	16647	1971	A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001905	CTPS	Salzman2013
chr16	24572932	24576186	+	hsa_circ_0038669	3254	742	Ag04450	DNA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006910	RBBP6	Salzman2013
chr3	127816142	127823767	-	hsa_circ_0067204	7625	655	Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003707	RUVBL1	Salzman2013
chr20	4880200	4883204	-	hsa_circ_0059365	3004	275	Helas3, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_203327	SLC23A2	Salzman2013
chr12	56620139	56623638	+	hsa_circ_0026918	3499	905	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_024068	OBFC2B	Salzman2013
chr4	85818063	85833472	-	hsa_circ_0009015	15409	15409	Hs68_RNase, Hs68_control	DNA	ALT_ACCEPTOR, coding, INTERNAL, intronic, OVEXON, UTR5	NM_014991	WDFY3	Jeck2013
chr4	114582868	114683083	-	hsa_circ_0070718	100215	1079	Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_001221	CAMK2D	Salzman2013
chr12	7074514	7077184	-	hsa_circ_0025304	2670	756	Huvec, H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001144831	PHB2	Salzman2013
chr5	150409503	150443308	-	hsa_circ_0074580	33805	2562	A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001252385	TNIP1	Salzman2013
chr8	67740888	67748309	+	hsa_circ_0084652	7421	324	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001204173	C8orf44-SGK3	Salzman2013
chr2	128525762	128526575	-	hsa_circ_0056361	813	174	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018383	WDR33	Salzman2013
chr15	72146717	72154952	-	hsa_circ_0036152	8235	367	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_006901	MYO9A	Salzman2013
chr12	65609756	65612399	+	hsa_circ_0027441	2643	135	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014319	LEMD3	Salzman2013
chr2	112625599	112641741	-	hsa_circ_0056114	16142	932	H1hesc	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_022662	ANAPC1	Salzman2013
chr17	42512432	42552271	-	hsa_circ_0044080	39839	321	Helas3	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVERLAPTX, OVEXON	NR_036474	GPATCH8	Salzman2013
chr10	7755143	7780721	+	hsa_circ_0017654	25578	1733	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002216	ITIH2	Salzman2013
chr12	472128	475270	-	hsa_circ_0024948	3142	306	Nhek, K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001042603	KDM5A	Salzman2013
chr8	48848291	48848460	-	hsa_circ_0084459	169	169	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006904	PRKDC	Salzman2013
chr2	223797883	223799405	+	hsa_circ_0058455	1522	273	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_004457	ACSL3	Salzman2013
chr2	110310663	110350696	-	hsa_circ_0056008	40033	1131	Nhek, Helas3, Bj, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_144710	SEPT10	Salzman2013
chr5	149823791	149827298	-	hsa_circ_0074536	3507	515	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_001025071	RPS14	Salzman2013
chr21	34921781	34941393	+	hsa_circ_0061537	19612	6641	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_138927	SON	Salzman2013
chr4	85654534	85781775	-	hsa_circ_0070318	127241	7252	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON, UTR5	NM_014991	WDFY3	Salzman2013
chr15	85619092	85658718	+	hsa_circ_0036622	39626	965	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002605	PDE8A	Salzman2013
chr14	74975306	74975655	-	hsa_circ_0032578	349	249	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_000428	LTBP2	Salzman2013
chr12	57559866	57571028	+	hsa_circ_0027164	11162	1525	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_002332	LRP1	Salzman2013
chr9	36233916	36246479	-	hsa_circ_0087007	12563	818	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_005476	GNE	Salzman2013
chr2	152973314	152989998	-	hsa_circ_0056732	16684	4552	K562	DNA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_005843	STAM2	Salzman2013
chr4	148575002	148575717	-	hsa_circ_0009048	715	715	Hs68_RNase, Hs68_control, H1hesc	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_138364	PRMT10	Jeck2013, Salzman2013
chr10	123629520	123662135	-	hsa_circ_0020247	32615	392	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_007041	ATE1	Salzman2013
chr14	53539314	53570574	-	hsa_circ_0031976	31260	686	K562, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001160147	DDHD1	Salzman2013
chr11	116631450	116636162	-	hsa_circ_0024344	4712	1017	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032725	BUD13	Salzman2013
chr17	78865519	78867665	+	hsa_circ_0000813	2146	418	cd_34, Nhek, K562, Hepg2, Helas3, Gm12878, Bj, Ag04450, A549, Sknshra	None	ANNOTATED, CDS, coding, INTERNAL	NM_001163034	RPTOR	Memczak2013, Salzman2013
chr9	100409773	100412882	+	hsa_circ_0087683	3109	384	K562, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002486	NCBP1	Salzman2013
chr20	56928328	56942563	+	hsa_circ_0060980	14235	8191	Nhek, Hepg2	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_020673	RAB22A	Salzman2013
chr19	45917220	45917292	-	hsa_circ_0051492	72	72	Helas3, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001983	ERCC1	Salzman2013
chr6	42620228	42625871	+	hsa_circ_0076390	5643	368	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015255	UBR2	Salzman2013
chr14	92361293	92361416	-	hsa_circ_0032976	123	123	Nhlf	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006329	FBLN5	Salzman2013
chr12	120611456	120614020	-	hsa_circ_0028836	2564	528	H1hesc, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006836	GCN1L1	Salzman2013
chr1	145598535	145601622	-	hsa_circ_0013910	3087	174	K562, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006468	POLR3C	Salzman2013
chr8	144657791	144659569	-	hsa_circ_0085846	1778	751	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_145201	NAPRT1	Salzman2013
chr3	186263855	186276361	-	hsa_circ_0068442	12506	2248	K562	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001134415	TBCCD1	Salzman2013
chrX	40988252	41010310	+	hsa_circ_0090232	22058	1667	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001039590	USP9X	Salzman2013
chr21	37612062	37635948	+	hsa_circ_0061605	23886	2544	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005128	DOPEY2	Salzman2013
chr15	64404771	64429131	+	hsa_circ_0002779	24360	1359	Hs68_RNase, Hs68_control	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003099	SNX1	Jeck2013
chr17	57814813	57816308	+	hsa_circ_0044875	1495	202	K562, Hepg2, Ag04450, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_030938	VMP1	Salzman2013
chr14	70444634	70490164	+	hsa_circ_0032361	45530	813	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001034852	SMOC1	Salzman2013
chr7	6624646	6628610	+	hsa_circ_0079386	3964	608	Nhek, K562, H1hesc, Gm12878, Ag04450, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_001134387	ZDHHC4	Salzman2013
chr7	102874246	102898171	-	hsa_circ_0007869	23925	699	Hs68_RNase, Hs68_control	None	ANNOTATED, INTERNAL, ncRNA, OVEXON	NR_027768	DPY19L2P2	Jeck2013
chr7	100882892	100888371	-	hsa_circ_0081595	5479	739	Nhek, K562, Huvec, Hmec, Hepg2, H1hesc, Gm12878, Ag04450	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_016068	FIS1	Salzman2013
chr17	62783365	62793527	-	hsa_circ_0045330	10162	404	Gm12878, Mcf7	NA	ANNOTATED, INTERNAL, ncRNA, OVEXON	NR_024386	PLEKHM1P	Salzman2013
chr1	113196219	113202401	+	hsa_circ_0000109	6182	430	cd_19, Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006135	CAPZA1	Jeck2013, Memczak2013, Salzman2013
chr3	11399891	11404402	+	hsa_circ_0003703	4511	515	Hs68_RNase, Hs68_control, K562, Huvec, Helas3, A549, Nhlf	None	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_006395	ATG7	Jeck2013, Salzman2013
chr14	97263683	97347951	+	hsa_circ_0033129	84268	1703	A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3, UTR5	NM_003384	VRK1	Salzman2013
chr3	47038748	47047109	+	hsa_circ_0065132	8361	4042	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015175	NBEAL2	Salzman2013
chr9	108125101	108127001	+	hsa_circ_0087827	1900	353	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_080546	SLC44A1	Salzman2013
chr6	56535438	56708463	-	hsa_circ_0076872	173025	173025	Bj	NA	INTERGENIC	None	None	Salzman2013
chr19	8966649	8987334	-	hsa_circ_0049090	20685	1551	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_024690	MUC16	Salzman2013
chr15	48902924	48937985	-	hsa_circ_0035175	35061	741	Bj	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR5	NM_000138	FBN1	Salzman2013
chr9	33468027	33469339	-	hsa_circ_0086671	1312	697	K562	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_022917	NOL6	Salzman2013
chr5	151122382	151131340	-	hsa_circ_0074659	8958	385	Gm12878	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_004045	ATOX1	Salzman2013
chr1	32691771	32692131	+	hsa_circ_0011385	360	278	Nhek, K562, Hepg2, Helas3, Gm12878, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_003757	EIF3I	Salzman2013
chr10	355970	402446	-	hsa_circ_0017370	46476	1082	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014974	DIP2C	Salzman2013
chr10	3207604	3207719	-	hsa_circ_0017513	115	115	K562, Ag04450, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001242307	PITRM1	Salzman2013
chr5	132232014	132232932	-	hsa_circ_0073902	918	918	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_014423	AFF4	Salzman2013
chr8	63776220	63776417	-	hsa_circ_0007560	197	197	Hs68_RNase, Hs68_control	None	ANTISENSE, coding, INTERNAL, intronic	NM_173688	NKAIN3	Jeck2013
chr1	229593907	229601266	-	hsa_circ_0016794	7359	781	Nhek, K562, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_018230	NUP133	Salzman2013
chr1	6655544	6659512	-	hsa_circ_0009534	3968	479	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014851	KLHL21	Salzman2013
chr21	33740711	33750850	-	hsa_circ_0061477	10139	630	K562, Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014825	URB1	Salzman2013
chr12	113706546	113716042	+	hsa_circ_0028483	9496	705	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001143819	TPCN1	Salzman2013
chr21	11011437	11026839	-	hsa_circ_0061250	15402	9699	K562, Bj	NA	ALT_DONOR, coding, downstream_end, OVEXON, UTR3	NM_182482	BAGE2	Salzman2013
chr14	52477593	52527074	-	hsa_circ_0031926	49481	3188	Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_007361	NID2	Salzman2013
chr20	3540039	3541552	+	hsa_circ_0059304	1513	335	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_139321	ATRN	Salzman2013
chr19	4954361	4954833	+	hsa_circ_0048679	472	311	Hepg2	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_013282	UHRF1	Salzman2013
chr1	144595834	144617252	+	hsa_circ_0013822	21418	19475	Ag04450	SINE	ALT_ACCEPTOR, CDS, coding, OVCODE, OVERLAPTX, OVEXON, upstream_start, UTR5	NM_001037675	NBPF9	Salzman2013
chr2	190323478	190328479	+	hsa_circ_0057465	5001	428	Nhek	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_032168	WDR75	Salzman2013
chr10	92675299	92678729	-	hsa_circ_0019090	3430	504	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014391	ANKRD1	Salzman2013
chr4	175205054	175219213	+	hsa_circ_0071455	14159	255	Sknshra	LINE	ANNOTATED, coding, OVERLAPTX, OVEXON, UTR5	NM_001145314	CEP44	Salzman2013
chr14	105241274	105246553	-	hsa_circ_0033558	5279	587	Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005163	AKT1	Salzman2013
chr11	47648631	47652639	-	hsa_circ_0022027	4008	254	Hepg2, Helas3, Gm12878, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014342	MTCH2	Salzman2013
chr1	11175452	11316249	-	hsa_circ_0009788	140797	6585	H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_004958	MTOR	Salzman2013
chr9	128099296	128113151	+	hsa_circ_0088588	13855	1141	K562, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, Sknshra, Mcf7	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015635	GAPVD1	Salzman2013
chr16	66976007	66977274	+	hsa_circ_0039775	1267	356	Nhek	NA	ANNOTATED, INTERNAL, ncRNA, OVCODE, OVEXON	NR_036684	CES2	Salzman2013
chr17	3935419	3970536	-	hsa_circ_0041491	35117	2817	Huvec	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015113	ZZEF1	Salzman2013
chr19	40325092	40329845	-	hsa_circ_0051033	4753	673	K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001436	FBL	Salzman2013
chr14	76349027	76368567	+	hsa_circ_0032731	19540	301	Huvec, Hepg2, Helas3, H1hesc, Gm12878, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_015072	TTLL5	Salzman2013
chr12	6646085	6646556	+	hsa_circ_0025195	471	289	Nhek, K562, Hepg2, Helas3, Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_002046	GAPDH	Salzman2013
chr1	22199489	22216634	-	hsa_circ_0010753	17145	3475	Bj	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_005529	HSPG2	Salzman2013
chr17	7128275	7128585	+	hsa_circ_0041774	310	310	Nhek, H1hesc, A549	NA	ANNOTATED, CDS, coding, OVCODE, OVERLAPTX, OVEXON, UTR3	NM_000018	ACADVL	Salzman2013
chr3	186504290	186505053	+	hsa_circ_0068462	763	282	Nhek, K562, Hepg2, Helas3, Gm12878, Ag04450, A549, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001967	EIF4A2	Salzman2013
chr17	7806254	7806379	+	hsa_circ_0041979	125	125	A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_001005271	CHD3	Salzman2013
chr20	46250972	46251074	+	hsa_circ_0060626	102	102	Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_181659	NCOA3	Salzman2013
chr12	59271181	59272887	-	hsa_circ_0027343	1706	735	Helas3	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_153377	LRIG3	Salzman2013
chr18	59821777	59829562	-	hsa_circ_0047863	7785	658	Bj, Ag04450	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR5	NM_176787	PIGN	Salzman2013
chr16	67226663	67228883	+	hsa_circ_0039795	2220	673	Helas3, H1hesc	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001950	E2F4	Salzman2013
chr4	89396991	89422136	+	hsa_circ_0070423	25145	1190	Gm12878	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_016323	HERC5	Salzman2013
chr19	36882860	36896574	-	hsa_circ_0050767	13714	2245	Ag04450	LTR	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_133466	ZFP82	Salzman2013
chr1	31810021	31819587	+	hsa_circ_0011270	9566	294	K562, Sknshra	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVERLAPTX, OVEXON	NM_016505	ZCCHC17	Salzman2013
chrX	54566567	54593720	+	hsa_circ_0090835	27153	8353	Helas3	LINE	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3	NM_001184819	GNL3L	Salzman2013
chr3	171064722	171065007	-	hsa_circ_0067949	285	285	Gm12878	LINE	ANNOTATED, ncRNA, OVEXON	NR_027767	TNIK	Salzman2013
chr19	14588570	14593818	-	hsa_circ_0049757	5248	1689	Nhek	NA	ANNOTATED, CDS, coding, OVCODE, OVEXON, UTR3, UTR5	NM_005716	GIPC1	Salzman2013
chrX	153580548	153587774	-	hsa_circ_0091884	7226	2627	H1hesc, Nhek, Nhlf	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_001110556	FLNA	Salzman2013
chr9	2829773	2829948	-	hsa_circ_0086225	175	175	Hepg2, A549	NA	ANNOTATED, CDS, coding, INTERNAL, OVCODE, OVEXON	NM_014878	KIAA0020	Salzman2013
chr20	33202303	33202421	-	hsa_circ_0059983	118	118	Nhek	SINE	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, intronic	NM_080476	PIGU	Salzman2013
